,lowest_price_good_now,id,dateutc,listing_count,avg_price,lowest_price_good_ago,lowest_price,highest_price,city,venuename,venuescore,ticket_score,home_team,away_team,hometeamscore,awayteamscore,daysaway,dateloaded,cntStars_home,WPCT_home,STRK_home,rankNBA_home,cntStars_away,WPCT_away,STRK_away,rankNBA_away,HomeAVG,HomePCT,AwayAVG,AwayPCT,TotalAVG,TotalPCT,Population,numTeams,holiday,weekday,dateutcindateform
43,36.0,2759128,2016-03-16,1628.0,152.5,36.0,36.0,1753.0,San Antonio,AT&T Center,0.7648,0.80389,San Antonio Spurs,Los Angeles Clippers,0.70492,0.75476,108,2015-11-29,1,0.824,5.0,2,2,0.5,1.0,15,18418.0,99.1,17965,94.9,18205,97.1,1976000.0,1.0,0,Wednesday,2016-03-16
44,127.0,2759108,2015-12-12,1106.0,282.0,71.0,71.0,3769.0,San Antonio,AT&T Center,0.7648,0.78408,San Antonio Spurs,Los Angeles Lakers,0.70492,0.76216,13,2015-11-29,1,0.824,5.0,2,1,0.133,-5.0,29,18418.0,99.1,17965,94.9,18205,97.1,1976000.0,1.0,0,Saturday,2015-12-12
45,122.0,2759122,2016-02-07,1136.0,255.0,65.0,65.0,3099.0,San Antonio,AT&T Center,0.7648,0.78936,San Antonio Spurs,Los Angeles Lakers,0.70492,0.76216,70,2015-11-29,1,0.824,5.0,2,1,0.133,-5.0,29,18418.0,99.1,17965,94.9,18205,97.1,1976000.0,1.0,0,Sunday,2016-02-07
46,36.0,2759098,2015-12-31,1524.0,134.0,35.0,35.0,971.0,San Antonio,AT&T Center,0.7648,0.75342,San Antonio Spurs,Phoenix Suns,0.70492,0.65702,32,2015-11-29,1,0.824,5.0,2,1,0.438,-4.0,20,18418.0,99.1,17965,94.9,18205,97.1,1976000.0,1.0,0,Thursday,2015-12-31
47,24.0,2760043,2016-03-06,1671.0,128.0,24.0,24.0,1102.0,San Antonio,AT&T Center,0.7648,0.73887,San Antonio Spurs,Sacramento Kings,0.70492,0.63446,98,2015-11-29,1,0.824,5.0,2,2,0.333,-2.0,26,18418.0,99.1,17965,94.9,18205,97.1,1976000.0,1.0,0,Sunday,2016-03-06
48,40.0,2759536,2016-01-18,1460.0,144.0,43.0,43.0,1749.0,San Antonio,AT&T Center,0.7648,0.78999,San Antonio Spurs,Dallas Mavericks,0.70492,0.72552,50,2015-11-29,1,0.824,5.0,2,3,0.588,1.0,9,18418.0,99.1,17965,94.9,18205,97.1,1976000.0,1.0,1,Monday,2016-01-18
49,69.0,2759163,2016-01-03,1421.0,154.0,73.0,73.0,2076.0,San Antonio,AT&T Center,0.7648,0.77769,San Antonio Spurs,Houston Rockets,0.70492,0.67126,35,2015-11-29,1,0.824,5.0,2,2,0.375,1.0,23,18418.0,99.1,17965,94.9,18205,97.1,1976000.0,1.0,0,Sunday,2016-01-03
50,31.0,2759149,2016-01-28,1754.0,169.0,31.0,31.0,1921.0,San Antonio,AT&T Center,0.7648,0.78231,San Antonio Spurs,Houston Rockets,0.70492,0.67126,60,2015-11-29,1,0.824,5.0,2,2,0.375,1.0,23,18418.0,99.1,17965,94.9,18205,97.1,1976000.0,1.0,0,Thursday,2016-01-28
51,29.0,2759133,2016-03-26,1555.0,128.0,28.0,28.0,1657.0,San Antonio,AT&T Center,0.7648,0.78562,San Antonio Spurs,Memphis Grizzlies,0.70492,0.6739,118,2015-11-29,1,0.824,5.0,2,2,0.529,-1.0,14,18418.0,99.1,17965,94.9,18205,97.1,1976000.0,1.0,0,Saturday,2016-03-26
52,83.0,2760143,2016-03-20,1346.0,232.5,83.0,83.0,2800.0,San Antonio,AT&T Center,0.7648,0.78892,San Antonio Spurs,Golden State Warriors,0.70492,0.75952,112,2015-11-29,1,0.824,5.0,2,3,1.0,18.0,1,18418.0,99.1,17965,94.9,18205,97.1,1976000.0,1.0,0,Sunday,2016-03-20
53,84.0,2760140,2016-04-10,1500.0,225.5,67.0,67.0,2912.0,San Antonio,AT&T Center,0.7648,0.80103,San Antonio Spurs,Golden State Warriors,0.70492,0.75952,133,2015-11-29,1,0.824,5.0,2,3,1.0,18.0,1,18418.0,99.1,17965,94.9,18205,97.1,1976000.0,1.0,0,Sunday,2016-04-10
54,89.0,2759239,2016-01-15,1687.0,217.0,89.0,89.0,3502.0,San Antonio,AT&T Center,0.7648,0.80478,San Antonio Spurs,Cleveland Cavaliers,0.70492,0.64462,47,2015-11-29,1,0.824,5.0,2,2,0.765,2.0,3,18418.0,99.1,17965,94.9,18205,97.1,1976000.0,1.0,0,Friday,2016-01-15
55,14.0,2759130,2016-02-02,1709.0,78.0,13.0,13.0,1047.0,San Antonio,AT&T Center,0.7648,0.75916,San Antonio Spurs,Orlando Magic,0.70492,0.67859,65,2015-11-29,1,0.824,5.0,2,0,0.5,2.0,18,18418.0,99.1,17965,94.9,18205,97.1,1976000.0,1.0,0,Tuesday,2016-02-02
56,16.0,2759116,2016-02-04,1568.0,102.5,16.0,16.0,1276.0,San Antonio,AT&T Center,0.7648,0.74459,San Antonio Spurs,New Orleans Pelicans,0.70492,0.6474,67,2015-11-29,1,0.824,5.0,2,1,0.235,-2.0,27,18418.0,99.1,17965,94.9,18205,97.1,1976000.0,1.0,0,Thursday,2016-02-04
57,19.0,2759117,2016-03-31,1607.0,116.0,19.0,19.0,1164.0,San Antonio,AT&T Center,0.7648,0.76636,San Antonio Spurs,New Orleans Pelicans,0.70492,0.6474,123,2015-11-29,1,0.824,5.0,2,1,0.235,-2.0,27,18418.0,99.1,17965,94.9,18205,97.1,1976000.0,1.0,0,Thursday,2016-03-31
58,6.0,2759738,2015-12-08,1462.0,36.0,5.0,5.0,813.0,New Orleans,Smoothie King Center,0.75731,0.7383,New Orleans Pelicans,Boston Celtics,0.6474,0.74904,9,2015-11-29,1,0.235,-2.0,27,0,0.563,2.0,12,17148.0,99.8,18826,97.3,18135,98.2,922000.0,2.0,0,Tuesday,2015-12-08
59,6.0,2759045,2016-01-31,1734.0,58.0,6.0,6.0,1083.0,New Orleans,Smoothie King Center,0.75731,0.7479,New Orleans Pelicans,Brooklyn Nets,0.6474,0.75544,63,2015-11-29,1,0.235,-2.0,27,3,0.188,-2.0,28,17148.0,99.8,18826,97.3,18135,98.2,922000.0,2.0,0,Sunday,2016-01-31
60,6.0,2759807,2016-03-29,1591.0,56.0,6.0,6.0,1002.0,New Orleans,Smoothie King Center,0.75731,0.7962,New Orleans Pelicans,New York Knicks,0.6474,0.81218,121,2015-11-29,1,0.235,-2.0,27,1,0.471,-3.0,19,17148.0,99.8,18826,97.3,18135,98.2,922000.0,2.0,0,Tuesday,2016-03-29
61,6.0,2759625,2016-02-20,1598.0,51.0,6.0,6.0,1083.0,New Orleans,Smoothie King Center,0.75731,0.74987,New Orleans Pelicans,Philadelphia 76ers,0.6474,0.70023,83,2015-11-29,1,0.235,-2.0,27,0,0.0,-17.0,30,17148.0,99.8,18826,97.3,18135,98.2,922000.0,2.0,0,Saturday,2016-02-20
62,6.0,2759047,2016-03-26,1662.0,64.0,6.0,6.0,1083.0,New Orleans,Smoothie King Center,0.75731,0.73595,New Orleans Pelicans,Toronto Raptors,0.6474,0.68538,118,2015-11-29,1,0.235,-2.0,27,1,0.647,4.0,7,17148.0,99.8,18826,97.3,18135,98.2,922000.0,2.0,0,Saturday,2016-03-26
63,9.0,2759391,2016-04-12,2131.0,84.0,9.0,9.0,2163.0,New Orleans,Smoothie King Center,0.75731,0.77738,New Orleans Pelicans,Chicago Bulls,0.6474,0.76158,135,2015-11-29,1,0.235,-2.0,27,2,0.643,-1.0,8,17148.0,99.8,18826,97.3,18135,98.2,922000.0,2.0,0,Tuesday,2016-04-12
64,7.0,2759431,2016-01-22,1651.0,48.0,7.0,7.0,813.0,New Orleans,Smoothie King Center,0.75731,0.7225,New Orleans Pelicans,Detroit Pistons,0.6474,0.63675,54,2015-11-29,1,0.235,-2.0,27,0,0.5,-1.0,17,17148.0,99.8,18826,97.3,18135,98.2,922000.0,2.0,0,Friday,2016-01-22
65,8.0,2759198,2016-01-09,1773.0,58.0,8.0,8.0,1029.0,New Orleans,Smoothie King Center,0.75731,0.74405,New Orleans Pelicans,Indiana Pacers,0.6474,0.67748,41,2015-11-29,1,0.235,-2.0,27,2,0.667,4.0,4,17148.0,99.8,18826,97.3,18135,98.2,922000.0,2.0,0,Saturday,2016-01-09
66,9.0,2759048,2016-01-24,1674.0,71.0,9.0,9.0,1083.0,New Orleans,Smoothie King Center,0.75731,0.718,New Orleans Pelicans,Milwaukee Bucks,0.6474,0.63561,56,2015-11-29,1,0.235,-2.0,27,0,0.353,-3.0,25,17148.0,99.8,18826,97.3,18135,98.2,922000.0,2.0,0,Sunday,2016-01-24
67,8.0,2759901,2016-01-16,1608.0,52.0,8.0,8.0,1083.0,New Orleans,Smoothie King Center,0.75731,0.7303,New Orleans Pelicans,Charlotte Hornets,0.6474,0.6619,48,2015-11-29,1,0.235,-2.0,27,1,0.588,1.0,10,17148.0,99.8,18826,97.3,18135,98.2,922000.0,2.0,0,Saturday,2016-01-16
68,8.0,2759669,2016-03-23,1846.0,70.0,8.0,8.0,1083.0,New Orleans,Smoothie King Center,0.75731,0.76892,New Orleans Pelicans,Miami Heat,0.6474,0.78556,115,2015-11-29,1,0.235,-2.0,27,2,0.667,1.0,5,17148.0,99.8,18826,97.3,18135,98.2,922000.0,2.0,0,Wednesday,2016-03-23
